PROGRAMNAME	PROGRAMURL	CATALOGNAME	LASTUPDATED	NAME	KEYWORDS	DESCRIPTION	SKU	MANUFACTURER	MANUFACTURERID	UPC	ISBN	CURRENCY	SALEPRICE	PRICE	RETAILPRICE	FROMPRICE	BUYURL	IMPRESSIONURL	IMAGEURL	ADVERTISERCATEGORY	THIRDPARTYID	THIRDPARTYCATEGORY	AUTHOR	ARTIST	TITLE	PUBLISHER	LABEL	FORMAT	SPECIAL	GIFT	PROMOTIONALTEXT	STARTDATE	ENDDATE	OFFLINE	ONLINE	INSTOCK	CONDITION	WARRANTY	STANDARDSHIPPINGCOST
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Lift Care - Face	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	An anti-wrinkle self-tanner  with an instant lifting effect!Apply evenly over your face, avoiding the eye contour area, eyebrows and hairline. Wash hands well. Apply daily until you reach the desired tan (4 consecutive days maximum), then re-apply every 3 days to maintain your tan.The Plus: An ultra-comfortable cream that can be used in place of your day cream.1.7 fl.oz. Tube / 50 mlThis product does not contain a sunscreen and does not protect against sunburn.	32830	Yves Rocher	32830			USD	11.00	20.00			http://www.jdoqocy.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D32830%2F%7Ecategory_id%3D4930%3FshopId%3DPAR	http://www.tqlkg.com/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/32830.jpg	Body Care																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Shimmering Gel - Face &amp; Body	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Summer glamour is guaranteed with this irridescent texture that instantly adorns your skin with a golden radiance!Apply evenly over your face and body, avoiding the eye contour area, eyebrows and hairline. Wash hands well. Apply daily until you reach the desired tan (4 consecutive days maximum), then re-apply every 3 days to maintain your tan.The Plus: its iridescent texture instantly highlights your complexion with a golden radiance.5.0 fl.oz. Bottle / 150 mlThis product does not contain a sunscreen and does not protect against sunburn.	37531	Yves Rocher	37531			USD	12.00	22.00			http://www.tkqlhce.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D37531%2F%7Ecategory_id%3D4930%3FshopId%3DPAR	http://www.tqlkg.com/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/37531.jpg	Body Care																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Lavender Effervescent Tablet	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	This tablet releases micro-bubbles that pleasantly relieve your feet. Your feet are deeply relaxed.Its plant:- Organic lavender essential oil for the well-being and comfort of your feet.Place an effervescent tablet in a basin of warm or cool water. Immerse feet in water. Sit back and relax for 5 to 10 minutes.0.17 oz. Tablet / 5 g	14095	Yves Rocher	14095			USD	2.00	2.00			http://www.jdoqocy.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D14095%2F%7Ecategory_id%3D4820%3FshopId%3DPAR	http://www.tqlkg.com/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/14095.jpg	Body Care																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	SOS After-Sun Cooling Gel	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Its ultra-fresh texture, enriched with Aloe Vera, renowned for its soothing properties, instantly calms sunburned skin and eases sensations of tightness. Revitalized and hydrated, your skin regains suppleness.Can be used on face and body.The Plus: its delicious jelly texture that instantly refreshes skin.5.0 fl.oz. Tube / 150 ml	35932	Yves Rocher	35932			USD	8.00	14.00			http://www.anrdoezrs.net/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D35932%2F%7Ecategory_id%3D4920%3FshopId%3DPAR	http://www.tqlkg.com/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/35932.jpg	Body Care																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Anti-Wrinkle Sun Care	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Enriched with a soothing anti-aging active ingredient, this formula soothes, moisturizes and instantly smoothes wrinkles.Your tan is even and your skin is revitalized, preserved from premature aging.The Plus: Its luscious balm texture. Can be used as a mask.1.7 fl.oz. Tube / 50 ml	35612	Yves Rocher	35612			USD	10.00	18.00			http://www.kqzyfj.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D35612%2F%7Ecategory_id%3D1530%3FshopId%3DPAR	http://www.tqlkg.com/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/35612.jpg	Skin Care																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Intense Color Duo Eyeshadow - 21 Greige &amp; Turquoise	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Their velvety texture feels soft, ultra-fine, creamy and is easy to apply: in one gesture, the color is revealed in all its intensity!Coverage can be adjusted as desired for varied intensity, from a light halo to an intense smoky look for perfectly structured eye makeup. The two harmonious and deep colors are available in satin finish, shimmering or sparkling and have impeccable holding power for 6 hours: the color does not alter or run or turn.Discover the new line of trendy shads that reveal every side of your personality:- the basic-chic for a look of glamour and timeless elegance- the pop colors to make a bold fashion statement- the fit colors to give your eyes a magnetic appealFor sublime eyes that are luminous and deep, to match your every whim!The Plus: Its easy-to-carry case Its double applicator for quick and easy makeup!1.0 oz. Compact / 3 g	53025	Yves Rocher	53025			USD	10.00	16.00			http://www.tkqlhce.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D53025%2F%7Ecategory_id%3D2630%3FshopId%3DPAR	http://www.tqlkg.com/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/53025.jpg	Makeup																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Orange &amp; Red Votive Holders	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	These pretty votive holders are perfect for a welcoming entry table, guest night stand or on your Holiday table.2 Votive Candle Holders: 1.9&rdquo;/4.8 cm bottom diameter x 2.6&rdquo;/6.5 cm H x 2.4&rdquo;/6 cm top diameter	83881	Yves Rocher	83881			USD	4.00	4.00			http://www.dpbolvw.net/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D83881%2F%7Ecategory_id%3D9600%3FshopId%3DPAR	http://www.tqlkg.com/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/83881.jpg	Gift Ideas																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Comme une &Eacute;vidence Perfumed Body Lotion - Travel Size	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	Treat yourself to a moment of fulfillment. Use this moisturizer to rediscover all the harmony and elegance of the green floral and chypre notes of Comme une Evidence eau de parfum.Like a fragrant caress, it wraps you in its delicate envelope and leaves a lightly scented veil on your skin. Your skin is velvety, moisturized and imbued with natural, refined elegance.1.7 fl.oz. Bottle / 50 ml	47703	Yves Rocher	47703			USD	4.00	4.00			http://www.jdoqocy.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D47703%2F%7Ecategory_id%3D4720%3FshopId%3DPAR	http://www.tqlkg.com/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/47703.jpg	Body Care																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	3-in-1 After-Sun Lotion	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	- Instantly soothes skin overheated by the sun, thanks to its Aloe Vera enriched formula.- Lastingly moisturizes skin.- Prolongs and beautifies your tan to make the pleasure of your vacation last longer.It leaves skin supple and velvety, ultra-soft to the touch.Can be used on face and body.The Plus: its 3 in 1 formula and delicious mono&iuml; scent.5.0 fl.oz. Bottle / 150 ml	35772	Yves Rocher	35772			USD	8.00	14.00			http://www.anrdoezrs.net/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D35772%2F%7Ecategory_id%3D4920%3FshopId%3DPAR	http://www.tqlkg.com/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/35772.jpg	Body Care																YES			
Yves Rocher US	http://www.yvesrocherusa.com/control/main?shopId=PAR	Product feed	10/22/2012	Malaysian Coconut Eau de Toilette	Yves Rocher US cosmetics,health, beauty, makeup, women, women's, skincare, beauty, skin care, fragrance, body sun care,hair care, bath, shower,men, men's, sale, relax, renew, bath & shower, shower gel, Yves Rocher, yves rocher, fragrances, sales	This irresistible eau de toilette leaves a luscious hint of fleshy, mouth-watering coconut in the air.The scent on your skin is attractively appetizing&hellip;The secret of Malaysian coconut:Originally from Southeast Asia, coconut is now grown in a number of countries. Yves Rocher has selected Malaysian coconut: fresh, deliciously crunchy, fleshy and filled with juice and milk. It coats the skin with a savory perfume that is subtle and sensuous&hellip;enough to make your mouth water!3.4 fl.oz. Spray / 100 ml	81917	Yves Rocher	81917			USD	12.00	12.00			http://www.jdoqocy.com/click-6359885-10752464?url=http%3A%2F%2Fwww.yvesrocherusa.com%2Fcontrol%2Fproduct%2F%7Eproduct_id%3D81917%2F%7Ecategory_id%3D3530%3FshopId%3DPAR	http://www.tqlkg.com/image-6359885-10752464	http://www.yvesrocherusa.com/images/catalog/products/zoom1/81917.jpg	Fragrances																YES			
